Food_Item,Category,Calories,Protein_g,Fat_g,Carbs_g,Fiber_g,Vitamin_A_mcg,Vitamin_C_mg,Vitamin_D_IU,Vitamin_B12_mcg,Iron_mg,Calcium_mg,Zinc_mg,Folate_mcg,Magnesium_mg,Tags,Allergens,Health_Benefits
Rajma (Kidney Beans) (82g),Legume,573.4,2.2,14.0,17.7,10.2,262.5,49.8,3.2,0.48,5.7,98.1,3.2,188.3,90.8,Low-Fat,Dairy,Energy Boost
Paneer (89g),Dairy,23.7,10.5,7.1,21.4,10.1,701.9,85.6,0.6,1.58,8.5,220.9,0.6,214.3,39.5,Low-Fat,None,Supports Bone Health
Almonds (85g),Nut,45.5,6.2,25.4,25.4,10.8,367.3,67.3,232.3,1.21,6.4,124.4,3.0,29.6,101.1,Vegetarian,Dairy,Improves Digestion
Curd (100g),Dairy,557.1,10.1,25.0,20.2,5.5,187.7,84.9,54.4,1.85,1.2,40.6,2.3,129.0,22.5,High-Protein,Dairy,Heart Healthy
Groundnuts (109g),Nut,173.7,3.4,4.8,41.5,10.0,557.8,3.6,334.4,0.79,1.0,82.0,1.8,207.8,103.2,High-Protein,Dairy,Boosts Immunity
Bottle Gourd (108g),Vegetable,342.5,14.0,2.9,7.0,9.6,98.0,5.6,312.4,0.53,2.1,126.2,3.5,375.3,17.2,Diabetic-Friendly,Gluten,Boosts Immunity
Lentils (Toor Dal) (84g),Legume,134.7,16.3,24.3,6.4,10.2,647.3,11.0,376.9,0.12,9.2,135.6,3.6,201.0,60.5,Low-Fat,Dairy,Improves Digestion
Orange (91g),Fruit,179.5,11.4,4.5,37.2,7.5,518.2,44.9,353.1,1.15,1.0,121.1,2.2,258.8,120.6,Vegetarian,Soy,Boosts Immunity
Fish (Pomfret) (102g),Seafood,298.2,19.6,10.4,34.4,4.0,217.1,2.3,238.8,0.07,8.1,91.5,4.1,191.3,56.8,Diabetic-Friendly,Dairy,Supports Bone Health
Cabbage (95g),Vegetable,401.0,7.0,24.5,55.1,0.9,797.1,19.7,338.6,1.91,3.6,253.4,4.2,74.6,90.9,High-Protein,Soy,Boosts Immunity
Mutton (116g),Meat,346.9,14.3,5.7,59.3,10.6,394.3,27.8,196.2,0.22,2.4,73.5,2.7,5.3,138.1,Vegetarian,Dairy,Improves Digestion
Banana (100g),Fruit,54.5,4.1,21.2,9.4,1.5,421.5,32.8,29.0,1.69,6.7,179.9,1.7,132.4,146.5,Low-Fat,Nuts,Improves Digestion
Banana (115g),Fruit,422.3,23.3,23.6,14.2,7.1,141.1,27.6,275.4,0.31,7.3,285.1,4.7,159.7,149.2,Diabetic-Friendly,None,Supports Bone Health
Guava (100g),Fruit,554.2,24.2,6.7,34.4,11.3,113.4,67.1,95.2,2.36,1.8,266.7,0.5,285.0,97.7,High-Protein,Nuts,Boosts Immunity
Curd (93g),Dairy,164.7,2.2,7.8,7.4,0.2,309.4,65.9,387.6,2.12,5.0,119.8,2.8,45.1,74.5,Diabetic-Friendly,Dairy,Supports Bone Health
Beetroot (84g),Vegetable,483.5,1.3,0.7,16.4,1.4,274.1,79.9,64.4,0.18,9.4,293.6,1.8,394.2,134.5,Vegan,Nuts,Supports Bone Health
Guava (107g),Fruit,111.1,3.0,6.2,12.2,8.4,577.9,65.7,106.1,0.68,2.5,24.4,2.9,336.7,27.3,High-Protein,None,Heart Healthy
Chapati (Whole Wheat) (98g),Grain,497.9,15.8,14.5,6.7,2.6,510.9,87.9,189.4,0.28,7.9,146.6,4.5,109.7,98.1,Low-Fat,Dairy,Improves Digestion
Fish (Pomfret) (103g),Seafood,128.2,1.6,13.2,16.5,10.1,451.8,13.6,278.6,0.23,6.7,244.4,2.1,303.8,38.0,Vegan,Nuts,Energy Boost
Bitter Gourd (114g),Vegetable,418.5,23.4,17.2,14.9,3.7,316.4,76.9,13.9,1.37,5.2,175.7,4.9,63.2,142.6,Low-Fat,Dairy,Supports Bone Health
Orange (92g),Fruit,93.2,10.9,29.6,26.7,12.0,502.2,75.1,103.2,2.19,9.2,29.4,2.0,162.0,52.3,High-Protein,Soy,Heart Healthy
Spinach (119g),Vegetable,360.8,19.7,3.5,9.8,6.9,466.6,86.8,40.1,0.25,7.8,237.9,4.4,352.7,132.3,High-Protein,Nuts,Heart Healthy
Mushroom (118g),Fungus,294.4,4.7,12.1,37.5,8.2,322.0,35.6,351.6,1.66,0.6,147.8,1.4,152.1,54.0,High-Protein,Gluten,Improves Digestion
Potato (86g),Root,584.0,6.1,9.1,44.9,9.3,257.4,65.6,242.0,0.21,4.5,274.9,2.1,196.4,79.9,High-Protein,None,Energy Boost
Mango (84g),Fruit,200.5,12.9,4.2,51.2,10.6,24.1,17.3,333.2,2.01,2.6,142.4,4.6,283.3,44.7,Low-Fat,Soy,Heart Healthy
Watermelon (87g),Fruit,415.1,6.4,14.7,27.3,11.5,380.2,49.6,137.7,2.01,2.7,251.0,0.5,15.8,12.2,Diabetic-Friendly,Dairy,Supports Bone Health
Muskmelon (94g),Fruit,413.1,7.1,12.3,2.2,9.4,614.3,0.8,364.6,1.55,6.1,12.5,1.3,323.0,49.3,High-Protein,Nuts,Heart Healthy
Mutton (109g),Meat,166.2,11.9,20.3,49.6,4.9,82.7,46.0,264.9,2.02,3.8,197.7,3.1,122.9,20.7,Vegan,Gluten,Improves Digestion
Watermelon (100g),Fruit,519.7,6.9,21.4,53.7,3.7,120.8,68.9,359.9,1.93,8.0,184.0,3.3,273.9,109.6,Low-Fat,Gluten,Improves Digestion
Bitter Gourd (105g),Vegetable,245.2,1.4,21.3,34.8,2.4,581.5,20.0,213.9,1.88,9.1,204.8,2.6,338.9,126.9,Diabetic-Friendly,Dairy,Improves Digestion
Cabbage (110g),Vegetable,94.2,6.8,24.3,46.0,2.4,544.1,30.2,35.7,0.85,7.5,99.1,4.0,135.9,42.8,High-Protein,Nuts,Boosts Immunity
Sweet Potato (83g),Root,522.5,14.8,28.3,5.2,10.7,400.9,78.1,152.7,0.72,0.6,257.7,0.8,84.1,64.3,Diabetic-Friendly,Nuts,Supports Bone Health
Egg (91g),Protein,471.8,12.4,19.0,11.4,7.7,4.8,24.6,304.5,0.4,7.7,152.0,3.8,39.8,94.1,Low-Fat,Nuts,Heart Healthy
Sweet Potato (104g),Root,22.7,13.6,21.9,57.1,10.7,605.7,47.8,7.2,0.01,7.4,75.6,4.4,128.3,19.9,Diabetic-Friendly,Soy,Improves Digestion
Mango (84g),Fruit,497.8,7.8,8.8,43.9,7.2,270.9,79.9,398.2,0.82,9.0,114.2,1.0,379.5,138.1,Low-Fat,None,Supports Bone Health
Milk (Cow) (88g),Dairy,142.5,1.0,15.2,8.3,8.6,633.9,33.8,256.1,1.85,6.3,182.2,0.3,47.7,126.2,Vegan,None,Heart Healthy
Beetroot (104g),Vegetable,91.7,6.7,21.1,13.1,8.3,8.4,37.9,40.4,1.25,6.3,213.2,2.2,360.0,79.2,Diabetic-Friendly,None,Improves Digestion
Tomato (86g),Vegetable,308.7,15.4,23.4,50.1,11.7,287.0,36.9,64.1,1.32,9.1,209.6,2.5,97.6,6.8,Vegan,None,Energy Boost
Potato (89g),Root,570.7,19.6,2.3,43.7,10.9,515.8,41.1,390.9,0.63,0.6,245.8,4.4,341.6,57.2,High-Protein,Nuts,Boosts Immunity
Cabbage (82g),Vegetable,25.6,3.9,19.5,20.4,10.8,764.1,24.1,293.2,0.89,3.5,43.0,2.1,185.3,126.2,Low-Fat,Nuts,Supports Bone Health
Tomato (88g),Vegetable,423.8,1.9,28.3,10.4,5.1,473.0,72.2,271.4,0.44,3.9,114.0,0.2,275.4,126.6,Vegetarian,Nuts,Heart Healthy
Tomato (106g),Vegetable,275.6,2.1,19.7,1.7,10.4,420.3,66.9,289.5,0.54,9.6,263.2,2.6,276.9,94.6,Low-Fat,Dairy,Heart Healthy
Mutton (104g),Meat,106.2,20.7,26.8,37.2,0.3,747.6,45.5,187.7,1.19,1.7,227.9,1.7,135.7,45.3,Diabetic-Friendly,Dairy,Energy Boost
Muskmelon (104g),Fruit,253.9,6.3,13.8,48.3,5.5,685.4,40.2,47.5,1.19,6.6,39.8,2.1,225.1,5.0,Vegan,Soy,Energy Boost
Watermelon (99g),Fruit,536.3,14.3,19.7,27.9,4.2,660.4,73.5,337.7,0.8,7.7,184.0,3.6,148.5,70.6,Vegan,Dairy,Boosts Immunity
Chicken Breast (102g),Meat,501.3,24.1,8.8,31.8,8.5,37.6,14.8,56.2,1.72,7.2,41.0,3.1,79.1,139.9,Low-Fat,Dairy,Heart Healthy
Apple (101g),Fruit,82.5,10.7,27.8,50.4,7.1,617.9,40.5,263.4,2.29,1.4,154.7,2.7,24.2,140.6,Diabetic-Friendly,Nuts,Energy Boost
Banana (117g),Fruit,120.7,20.5,3.2,39.8,7.4,258.2,79.3,167.5,1.46,7.0,82.0,2.0,140.4,47.7,Vegetarian,Dairy,Heart Healthy
Guava (112g),Fruit,193.4,17.7,25.8,43.0,11.2,506.4,18.1,249.7,0.7,3.5,205.0,4.9,261.8,144.0,Diabetic-Friendly,Soy,Improves Digestion
Tomato (102g),Vegetable,346.1,14.8,28.3,42.9,8.2,715.2,48.1,351.0,1.01,0.2,40.9,2.0,26.0,13.2,High-Protein,Dairy,Improves Digestion
Curd (89g),Dairy,506.8,17.4,8.9,45.5,0.6,651.4,9.2,347.2,1.77,8.7,225.3,2.9,98.9,118.7,High-Protein,None,Heart Healthy
Fish (Pomfret) (106g),Seafood,574.9,24.4,9.4,33.6,0.4,201.8,55.9,312.4,2.09,8.3,274.3,3.6,260.8,114.5,Diabetic-Friendly,Soy,Supports Bone Health
Apple (98g),Fruit,280.3,24.6,2.3,57.8,8.9,96.4,3.7,111.6,0.63,1.7,255.3,0.1,189.2,140.9,Vegan,Dairy,Improves Digestion
Guava (83g),Fruit,468.7,15.8,25.3,18.8,9.5,440.6,6.6,283.1,1.26,9.6,161.0,4.0,68.0,83.7,Low-Fat,None,Improves Digestion
Milk (Cow) (93g),Dairy,404.7,8.6,8.9,57.1,7.5,380.4,50.5,300.9,1.56,1.2,110.3,1.3,258.7,138.2,Vegetarian,None,Improves Digestion
Fish (Pomfret) (87g),Seafood,243.8,13.7,8.6,54.8,9.9,300.6,72.3,178.2,0.11,9.0,65.8,2.6,379.5,29.3,Diabetic-Friendly,Soy,Boosts Immunity
Watermelon (84g),Fruit,142.3,15.9,6.5,41.4,10.1,165.3,74.6,351.5,1.78,4.4,246.9,0.5,276.0,8.4,High-Protein,None,Boosts Immunity
White Rice (83g),Grain,123.2,6.7,2.2,49.5,10.9,326.7,40.6,161.8,0.76,4.0,44.3,0.1,289.5,14.2,Diabetic-Friendly,None,Boosts Immunity
Mutton (112g),Meat,81.6,19.8,9.1,6.1,9.2,350.7,35.6,264.3,1.14,5.4,49.6,2.0,320.0,84.1,Vegetarian,Gluten,Improves Digestion
Spinach (115g),Vegetable,527.4,4.0,1.3,34.8,4.9,438.5,7.7,84.0,1.78,7.3,71.4,4.5,341.3,25.7,Vegetarian,Dairy,Energy Boost
Curd (92g),Dairy,86.5,16.9,17.1,4.2,9.1,792.1,49.4,257.9,0.18,6.7,82.7,1.1,234.3,143.0,High-Protein,Dairy,Supports Bone Health
Cabbage (98g),Vegetable,379.3,22.6,9.6,27.6,7.5,245.2,52.6,226.2,0.87,3.2,134.2,0.1,102.2,37.1,Low-Fat,Gluten,Improves Digestion
Carrot (101g),Vegetable,529.2,11.8,10.8,19.0,6.7,141.4,54.6,336.7,2.06,1.5,166.2,1.4,355.1,16.1,Vegan,None,Energy Boost
Watermelon (81g),Fruit,491.3,14.7,23.1,13.6,0.6,209.2,80.5,215.9,1.57,1.6,123.8,4.5,237.9,129.3,Vegetarian,Nuts,Energy Boost
Green Peas (85g),Legume,250.1,12.8,19.9,51.0,9.7,491.6,14.9,205.7,1.07,1.9,285.1,3.3,387.3,111.7,Low-Fat,Gluten,Boosts Immunity
Milk (Cow) (111g),Dairy,154.4,7.0,7.1,40.4,6.3,633.4,34.9,367.2,2.12,0.5,198.1,0.6,387.5,96.9,High-Protein,Gluten,Energy Boost
Soybeans (116g),Legume,120.8,16.5,11.0,39.5,10.1,413.8,33.9,362.9,1.24,3.6,261.6,2.5,195.4,92.6,Diabetic-Friendly,Dairy,Heart Healthy
Mango (94g),Fruit,64.7,16.3,6.4,12.0,4.5,574.1,10.6,92.1,1.95,7.2,149.6,2.4,88.2,28.4,Low-Fat,None,Supports Bone Health
Chickpeas (88g),Legume,352.6,4.4,18.9,3.3,7.0,45.7,23.2,72.0,2.3,6.0,173.4,0.2,289.2,101.0,High-Protein,None,Supports Bone Health
Beetroot (118g),Vegetable,595.8,21.7,5.2,50.0,7.3,635.9,73.8,72.8,1.58,2.7,220.0,1.8,184.1,90.6,Vegetarian,Nuts,Heart Healthy
Carrot (86g),Vegetable,29.6,13.3,27.3,41.4,10.0,484.8,16.0,360.6,1.44,8.8,164.1,3.8,41.8,100.6,Diabetic-Friendly,Soy,Boosts Immunity
Muskmelon (107g),Fruit,322.8,9.6,1.4,32.3,2.9,642.0,71.1,152.5,1.41,7.4,230.8,3.5,43.6,24.4,Low-Fat,Dairy,Boosts Immunity
Cashews (118g),Nut,528.5,10.5,5.8,42.8,9.5,462.8,10.6,2.9,1.57,6.9,101.6,1.9,66.1,99.5,High-Protein,Gluten,Energy Boost
Brinjal (116g),Vegetable,232.1,7.3,20.5,45.5,5.1,627.2,43.4,148.1,1.33,2.6,98.9,1.8,283.7,111.7,Vegan,Dairy,Heart Healthy
Mango (86g),Fruit,144.4,10.3,10.2,33.5,8.4,565.7,14.5,385.8,0.01,1.0,52.1,4.6,177.0,14.3,Vegetarian,Gluten,Boosts Immunity
Guava (82g),Fruit,440.2,23.3,12.1,39.7,3.6,770.9,5.2,309.4,0.42,5.0,13.1,4.3,372.6,80.1,Vegetarian,None,Energy Boost
Green Peas (113g),Legume,425.1,15.6,20.3,22.2,7.9,780.5,7.8,110.4,0.96,6.7,127.6,1.1,11.1,107.0,Vegan,Soy,Improves Digestion
Tofu (117g),Soy Product,221.9,24.1,8.4,36.8,2.5,743.8,51.7,104.4,0.98,1.2,31.0,1.5,379.1,121.4,High-Protein,Soy,Energy Boost
Curd (108g),Dairy,580.3,14.3,23.1,45.7,11.5,367.6,41.5,234.7,0.07,1.3,29.6,3.2,397.7,103.2,Vegetarian,Gluten,Heart Healthy
Mutton (113g),Meat,330.7,17.7,8.0,18.0,4.9,599.3,30.8,221.8,0.43,3.2,73.4,2.9,77.2,113.2,Vegetarian,Nuts,Supports Bone Health
Paneer (95g),Dairy,526.2,5.6,6.2,15.7,7.5,125.6,9.6,368.1,1.62,6.7,188.0,3.8,218.9,11.1,Low-Fat,Gluten,Energy Boost
Egg (111g),Protein,540.9,22.1,17.3,17.2,2.4,611.6,46.0,159.2,1.8,1.4,162.5,2.2,376.2,9.7,High-Protein,Nuts,Supports Bone Health
Cucumber (87g),Vegetable,425.0,11.8,20.7,1.7,2.7,465.2,29.3,245.1,0.62,5.5,78.8,2.4,247.2,58.1,Low-Fat,Nuts,Supports Bone Health
Bitter Gourd (103g),Vegetable,231.7,10.3,13.6,34.7,11.8,549.1,73.3,288.3,1.93,5.6,258.3,1.1,321.0,112.1,Low-Fat,None,Supports Bone Health
Bitter Gourd (111g),Vegetable,98.0,22.4,19.0,32.5,3.9,389.8,22.6,343.4,0.11,1.1,57.4,1.2,105.4,126.7,Vegan,Nuts,Improves Digestion
Curd (103g),Dairy,229.0,14.2,24.3,21.3,5.1,281.5,61.2,242.2,1.38,6.5,166.1,4.9,117.4,52.1,Diabetic-Friendly,Nuts,Heart Healthy
Chapati (Whole Wheat) (104g),Grain,375.9,11.9,28.7,52.2,7.8,742.9,38.0,244.9,0.97,9.1,32.9,1.8,128.8,99.7,High-Protein,Soy,Heart Healthy
Almonds (108g),Nut,473.0,23.5,22.5,31.7,5.5,134.7,76.9,50.0,0.56,2.6,225.7,3.8,88.2,62.6,Vegan,None,Heart Healthy
Tofu (83g),Soy Product,35.3,10.2,23.0,5.9,3.3,125.1,58.9,354.2,0.74,2.5,92.4,3.2,56.9,126.6,Vegan,None,Improves Digestion
Egg (110g),Protein,291.0,21.8,28.1,33.4,1.8,758.8,48.5,236.3,1.1,7.5,264.4,2.2,257.7,82.4,High-Protein,Nuts,Energy Boost
Milk (Cow) (85g),Dairy,276.3,9.5,7.9,18.9,0.2,652.5,76.3,137.6,1.13,0.2,277.4,4.7,193.4,6.3,Low-Fat,Gluten,Energy Boost
Milk (Cow) (80g),Dairy,338.0,5.1,26.5,26.8,3.1,572.2,58.1,331.4,0.53,0.9,191.3,2.6,321.0,93.9,High-Protein,Gluten,Energy Boost
Almonds (106g),Nut,129.0,2.2,4.2,7.5,5.6,362.8,63.0,196.8,0.77,1.6,291.2,0.2,389.1,45.9,Vegetarian,Nuts,Boosts Immunity
Milk (Cow) (85g),Dairy,107.4,12.6,10.3,19.4,9.6,798.4,41.7,316.6,0.79,8.5,286.0,0.4,311.4,15.4,Low-Fat,Dairy,Supports Bone Health
Curd (104g),Dairy,500.4,3.5,23.1,15.7,9.3,354.9,66.4,13.4,1.11,7.7,161.1,4.9,191.8,103.8,High-Protein,Gluten,Supports Bone Health
Watermelon (82g),Fruit,451.9,14.0,3.8,29.4,3.7,289.0,4.7,266.7,2.34,2.4,135.9,0.2,318.8,89.8,Low-Fat,Dairy,Boosts Immunity
Chickpeas (117g),Legume,474.4,12.1,17.9,22.9,1.3,127.0,8.2,247.5,2.23,10.0,191.3,0.4,259.6,106.7,Vegan,Dairy,Heart Healthy
Milk (Cow) (100g),Dairy,589.4,19.8,22.7,48.5,5.4,155.2,62.0,143.3,0.32,9.0,150.7,2.2,121.4,106.1,Vegetarian,Soy,Supports Bone Health
Soybeans (102g),Legume,207.7,12.0,26.0,36.3,10.4,129.1,47.8,179.8,1.97,5.5,141.7,3.9,204.9,111.4,Vegan,Soy,Improves Digestion
Pineapple (95g),Fruit,206.0,2.1,29.0,49.3,2.4,546.9,68.9,61.7,0.68,4.2,103.4,0.6,265.3,11.3,Vegetarian,Dairy,Boosts Immunity
Apple (86g),Fruit,301.5,2.9,17.2,50.3,8.0,421.1,63.1,102.4,0.88,6.1,30.6,4.7,87.5,76.3,Vegan,Nuts,Boosts Immunity
Fish (Rohu) (115g),Seafood,451.2,22.3,24.7,47.9,0.9,493.9,47.6,293.7,2.0,0.9,72.6,2.6,45.0,38.5,Low-Fat,Dairy,Supports Bone Health
Rajma (Kidney Beans) (95g),Legume,350.6,23.7,16.8,33.9,9.0,613.3,51.9,269.8,1.69,4.3,40.2,4.0,222.2,78.2,Vegetarian,Soy,Energy Boost
Beetroot (102g),Vegetable,543.4,14.0,29.9,50.8,5.1,507.0,74.4,129.4,0.58,5.5,118.8,2.8,299.1,57.2,Low-Fat,Nuts,Heart Healthy
Spinach (82g),Vegetable,590.1,15.1,15.6,59.6,3.8,241.0,20.0,342.3,0.05,8.2,210.0,1.5,223.7,85.7,Diabetic-Friendly,Dairy,Boosts Immunity
Chickpeas (109g),Legume,226.3,3.9,11.1,35.3,2.9,649.0,8.3,159.9,2.2,7.4,219.8,4.0,73.3,124.7,Diabetic-Friendly,None,Energy Boost
Muskmelon (99g),Fruit,41.7,20.3,11.5,47.0,11.1,268.2,79.2,173.7,2.23,1.3,233.4,3.8,340.5,139.7,Low-Fat,None,Improves Digestion
Rajma (Kidney Beans) (82g),Legume,205.2,14.3,9.9,42.2,2.0,539.2,89.8,388.4,1.81,5.8,36.1,2.2,315.6,26.5,High-Protein,None,Heart Healthy
Mushroom (83g),Fungus,337.9,6.9,12.0,26.6,8.4,609.9,43.3,79.2,0.95,5.8,172.7,5.0,212.1,40.1,High-Protein,Nuts,Improves Digestion
Mushroom (85g),Fungus,85.3,10.6,11.0,12.2,4.3,524.7,69.3,67.7,0.84,8.2,242.8,3.2,179.0,139.0,Vegetarian,Dairy,Improves Digestion
Cauliflower (85g),Vegetable,85.2,1.8,28.5,55.7,10.5,656.3,1.2,277.5,0.27,4.6,16.6,1.1,217.5,34.6,Diabetic-Friendly,Gluten,Energy Boost
Sweet Potato (119g),Root,443.4,4.0,21.0,2.1,7.1,531.2,3.9,68.1,0.68,7.9,189.2,0.4,263.6,6.2,Low-Fat,Gluten,Improves Digestion
Cabbage (81g),Vegetable,189.6,22.1,11.7,58.8,6.2,568.0,81.3,193.9,1.43,1.0,67.7,4.8,226.5,108.3,Vegan,Dairy,Energy Boost
Groundnuts (101g),Nut,304.2,18.7,0.6,41.4,4.4,242.6,89.6,391.4,0.66,0.7,84.7,2.0,400.0,148.6,Diabetic-Friendly,Gluten,Supports Bone Health
Cauliflower (101g),Vegetable,540.4,16.6,2.7,23.6,11.5,490.3,56.3,91.0,0.58,1.6,291.5,4.6,135.1,83.6,Vegetarian,Dairy,Energy Boost
Soybeans (92g),Legume,520.3,8.1,21.2,31.9,1.8,796.6,87.8,58.1,2.24,9.2,102.1,2.8,379.7,22.2,High-Protein,Dairy,Boosts Immunity
Egg (106g),Protein,577.5,7.9,22.4,49.5,7.7,590.9,13.7,75.2,0.32,0.4,295.9,3.1,244.2,93.8,Diabetic-Friendly,Dairy,Supports Bone Health
Lentils (Toor Dal) (102g),Legume,66.1,19.6,4.1,50.9,5.7,520.0,16.6,155.0,1.14,1.7,75.6,2.1,387.7,139.2,Low-Fat,Dairy,Supports Bone Health
Orange (84g),Fruit,122.7,23.9,13.2,37.4,8.3,693.6,79.9,171.0,1.86,6.1,249.1,3.6,160.7,141.2,Diabetic-Friendly,Soy,Energy Boost
Rajma (Kidney Beans) (82g),Legume,322.0,11.6,24.8,3.5,12.0,415.4,35.6,294.1,1.34,5.2,192.9,0.3,120.0,62.7,High-Protein,Gluten,Heart Healthy
Mango (107g),Fruit,190.8,23.0,20.7,54.3,5.7,517.2,8.1,200.3,0.43,5.9,269.4,2.8,160.3,51.9,Vegan,Dairy,Heart Healthy
Papaya (92g),Fruit,531.9,2.7,9.8,39.3,8.6,132.0,66.0,36.5,1.69,6.4,34.7,3.6,292.1,146.4,Diabetic-Friendly,Dairy,Heart Healthy
Tofu (104g),Soy Product,45.5,4.7,10.1,52.4,10.4,130.5,13.0,307.7,0.12,3.1,221.7,4.8,119.1,31.2,Vegetarian,Dairy,Boosts Immunity
Pineapple (96g),Fruit,27.1,12.7,15.0,48.6,7.4,395.3,19.5,263.8,1.09,4.5,184.4,0.1,353.5,45.3,Diabetic-Friendly,Dairy,Boosts Immunity
Banana (89g),Fruit,51.9,9.1,4.4,2.9,7.0,483.0,29.8,35.1,0.26,9.9,56.8,1.5,266.1,106.5,Diabetic-Friendly,Soy,Supports Bone Health
Cucumber (117g),Vegetable,228.9,1.4,23.1,20.0,10.8,656.4,68.3,337.3,0.16,4.8,45.4,4.3,135.0,65.0,Vegetarian,Dairy,Energy Boost
Brown Rice (86g),Grain,351.4,24.5,15.9,6.2,8.7,484.2,70.9,282.7,1.02,8.5,85.3,2.9,251.2,139.4,Diabetic-Friendly,Soy,Heart Healthy
Rajma (Kidney Beans) (120g),Legume,308.7,20.3,26.5,14.7,3.6,155.7,10.6,186.0,1.91,7.4,70.1,3.1,168.8,11.6,High-Protein,Soy,Supports Bone Health
Spinach (120g),Vegetable,136.7,7.4,23.7,19.2,6.2,259.8,0.6,274.3,0.82,7.3,188.6,0.2,74.4,52.9,High-Protein,Nuts,Heart Healthy
Chickpeas (88g),Legume,299.3,15.9,26.8,32.7,4.2,627.4,37.3,297.0,2.0,3.1,220.2,1.6,216.7,35.2,High-Protein,Gluten,Boosts Immunity
Cauliflower (97g),Vegetable,507.6,8.8,11.3,32.5,2.2,484.9,16.9,46.7,1.88,3.2,258.8,3.6,112.2,17.6,Vegetarian,Gluten,Heart Healthy
Groundnuts (93g),Nut,324.6,4.8,11.3,3.2,2.6,75.0,45.5,319.6,2.17,1.6,108.6,2.5,350.2,50.0,High-Protein,Dairy,Boosts Immunity
Rajma (Kidney Beans) (88g),Legume,139.0,1.4,11.7,52.0,1.6,249.5,4.0,339.2,2.09,3.4,267.9,0.6,307.6,113.1,Vegan,Soy,Improves Digestion
Watermelon (93g),Fruit,206.1,5.2,8.4,19.8,5.4,95.0,13.4,109.5,0.04,6.3,159.1,1.1,143.4,51.2,Vegetarian,Gluten,Energy Boost
Paneer (90g),Dairy,61.3,15.5,10.2,27.2,1.7,377.1,60.8,42.4,0.13,4.3,61.9,3.0,239.1,126.2,Low-Fat,Soy,Improves Digestion
Groundnuts (101g),Nut,494.1,18.0,20.2,32.5,11.7,604.8,41.9,52.7,1.95,9.2,145.8,2.3,275.4,108.0,Low-Fat,Nuts,Supports Bone Health
Milk (Cow) (89g),Dairy,519.4,15.6,27.4,24.1,8.5,532.5,71.0,353.0,1.09,0.4,147.8,1.8,187.2,29.8,High-Protein,Soy,Energy Boost
Carrot (112g),Vegetable,79.7,20.5,23.9,20.2,7.9,634.2,47.9,160.3,0.99,6.2,168.9,4.9,156.6,54.4,Diabetic-Friendly,Nuts,Heart Healthy
Mushroom (101g),Fungus,335.8,6.3,19.9,5.6,11.2,459.8,43.8,236.9,1.11,5.6,248.4,1.0,382.6,15.1,Vegan,Soy,Heart Healthy
Egg (111g),Protein,394.1,2.0,6.6,9.2,7.1,604.2,72.9,302.8,1.59,4.6,94.5,3.1,181.6,34.8,High-Protein,Gluten,Energy Boost
Groundnuts (107g),Nut,436.3,22.9,29.7,35.4,7.4,408.8,76.3,341.0,0.15,9.0,290.7,0.1,226.2,146.9,Vegan,Gluten,Boosts Immunity
Paneer (107g),Dairy,427.3,10.2,9.6,23.6,4.7,436.5,59.6,189.9,0.45,3.9,278.1,4.2,65.9,149.6,Vegetarian,Dairy,Boosts Immunity
White Rice (81g),Grain,103.5,22.2,19.8,58.5,1.8,110.6,72.5,344.1,2.14,7.0,279.8,3.2,184.5,66.5,Low-Fat,Nuts,Improves Digestion
Milk (Cow) (91g),Dairy,266.4,0.7,15.0,44.1,8.6,216.1,83.4,230.5,0.08,0.5,150.1,1.9,234.2,144.5,Vegan,Dairy,Energy Boost
Almonds (109g),Nut,319.8,13.3,18.3,15.5,7.6,531.3,60.2,273.6,1.29,5.8,187.8,4.5,216.3,6.6,Low-Fat,Soy,Heart Healthy
Mushroom (101g),Fungus,264.2,24.0,24.0,18.1,0.6,738.4,67.4,290.8,1.35,0.7,147.2,0.9,25.4,148.6,Diabetic-Friendly,None,Improves Digestion
Potato (85g),Root,93.6,2.4,23.5,15.9,7.5,220.9,23.1,296.6,1.45,9.1,224.3,3.3,151.1,30.4,Vegetarian,Nuts,Supports Bone Health
Rajma (Kidney Beans) (82g),Legume,218.9,2.6,4.4,56.1,2.0,397.3,89.4,308.1,0.57,4.5,194.9,1.1,295.1,55.0,High-Protein,None,Boosts Immunity
Mango (109g),Fruit,251.3,7.9,22.4,45.4,6.5,304.5,63.5,189.8,0.35,8.7,13.4,4.6,182.3,103.4,Diabetic-Friendly,None,Boosts Immunity
Soybeans (120g),Legume,225.2,21.2,18.4,39.5,3.4,217.0,72.2,102.1,1.4,4.7,205.8,1.3,270.4,116.7,Diabetic-Friendly,Gluten,Supports Bone Health
Egg (115g),Protein,26.1,0.7,2.1,25.3,6.4,548.7,31.6,290.1,0.6,0.4,189.6,0.4,239.7,134.6,Vegetarian,Soy,Boosts Immunity
Tomato (85g),Vegetable,516.7,3.7,19.7,54.1,6.9,773.8,80.6,278.3,0.61,4.7,281.5,3.2,369.5,45.1,Low-Fat,Gluten,Improves Digestion
Mango (84g),Fruit,180.8,2.0,11.7,59.8,3.2,650.4,16.0,27.8,2.35,2.1,123.9,3.3,47.8,83.4,Low-Fat,Dairy,Energy Boost
